Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002587,Male,Yes,0,Not Graduate,No,3639,1700.0,139.1,360.0,1.0,Urban,Y
LP002361,Male,Yes,0,Graduate,No,2548,1719.0,130.0,360.0,1.0,Rural,Y
LP002229,Male,No,0,Graduate,No,8317,4232.0,384.8,360.0,1.0,Semiurban,Y
LP002446,Male,Yes,2,Not Graduate,No,3232,1255.0,162.5,360.0,0.0,Urban,N
LP002031,Male,Yes,1,Not Graduate,No,4758,1640.0,144.3,180.0,1.0,Rural,Y
LP002560,Male,No,0,Not Graduate,No,3778,2785.0,124.80000000000001,360.0,,Urban,Y
LP001273,Male,Yes,0,Graduate,No,8400,2250.0,344.5,360.0,,Urban,N
LP001205,Male,Yes,0,Graduate,No,3500,3796.0,156.0,360.0,1.0,Urban,Y
LP001357,Male,,,Graduate,No,5342,754.0,208.0,360.0,1.0,Urban,Y
LP002347,Male,Yes,0,Graduate,No,4544,1417.0,179.4,360.0,1.0,Urban,Y
LP001634,Male,No,0,Graduate,No,2682,5063.0,87.10000000000001,360.0,,Urban,N
LP001087,Female,No,2,Graduate,,5250,2083.0,156.0,360.0,1.0,Semiurban,Y
LP001379,Male,Yes,2,Graduate,No,5320,3600.0,280.8,360.0,0.0,Urban,N
LP001137,Female,No,0,Graduate,No,4774,0.0,114.4,,1.0,Urban,Y
LP002138,Male,Yes,0,Graduate,No,3674,6250.0,243.1,360.0,1.0,Urban,Y
LP002435,Male,Yes,0,Graduate,,4954,1376.0,71.5,360.0,1.0,Urban,N
LP002434,Male,Yes,2,Not Graduate,No,6512,0.0,143.0,360.0,1.0,Semiurban,Y
LP002755,Male,Yes,1,Not Graduate,No,3134,2524.0,166.4,360.0,1.0,Urban,Y
LP002917,Female,No,0,Not Graduate,No,3031,0.0,91.0,360.0,1.0,Rural,Y
LP001120,Male,No,0,Graduate,No,2520,1213.0,61.1,360.0,1.0,Urban,Y
LP001761,Male,No,0,Graduate,Yes,8960,0.0,260.0,360.0,1.0,Urban,Y
LP002732,Male,No,0,Not Graduate,,3570,2042.0,163.8,360.0,1.0,Urban,Y
LP001955,Female,No,0,Graduate,No,7000,2541.0,196.3,480.0,1.0,Semiurban,N
LP002131,Male,Yes,2,Not Graduate,No,4316,2168.0,163.8,360.0,1.0,Urban,Y
LP001574,Male,Yes,0,Graduate,No,5189,3166.0,236.6,,1.0,Urban,Y
LP001560,Male,Yes,0,Not Graduate,No,2608,1041.0,127.4,360.0,1.0,Urban,Y
LP002262,Male,Yes,3+,Graduate,No,13305,0.0,357.5,360.0,1.0,Urban,Y
LP001922,Male,Yes,0,Graduate,No,28933,0.0,,360.0,1.0,Urban,N
LP001643,Male,Yes,0,Graduate,No,3336,2138.0,75.4,360.0,,Urban,Y
LP002067,Male,Yes,1,Graduate,Yes,12132,4983.0,488.8,360.0,0.0,Semiurban,N
LP002362,Male,Yes,1,Graduate,No,10150,1667.0,143.0,,0.0,Urban,N
LP001639,Female,Yes,0,Graduate,No,5075,0.0,140.4,360.0,1.0,Urban,Y
LP002219,Male,Yes,3+,Graduate,No,12250,4996.0,169.0,360.0,1.0,Urban,Y
LP002103,,Yes,1,Graduate,Yes,13766,1833.0,236.6,180.0,1.0,Urban,Y
LP001100,Male,No,3+,Graduate,No,17500,3000.0,416.0,360.0,1.0,Urban,N
LP002144,Female,No,,Graduate,No,5338,0.0,150.8,180.0,1.0,Urban,Y
LP002832,Male,Yes,2,Graduate,No,12318,0.0,335.40000000000003,360.0,0.0,Urban,N
LP002051,Male,Yes,0,Graduate,No,3360,2167.0,149.5,360.0,1.0,Semiurban,Y
LP002928,Male,Yes,0,Graduate,No,4200,3416.0,72.8,180.0,1.0,Urban,Y
LP002170,Male,Yes,2,Graduate,No,7000,3667.0,306.8,360.0,1.0,Urban,Y
LP002024,,Yes,0,Graduate,No,3462,1843.0,206.70000000000002,360.0,1.0,Urban,N
LP002219,Male,Yes,3+,Graduate,No,12250,4996.0,169.0,360.0,1.0,Urban,Y
LP002527,Male,Yes,2,Graduate,Yes,23135,1014.0,195.0,360.0,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,2594,2840.0,148.20000000000002,360.0,1.0,Urban,N
LP001798,Male,Yes,2,Graduate,No,8146,5000.0,156.0,360.0,1.0,Urban,Y
LP002738,Male,No,2,Graduate,No,5063,0.0,139.1,360.0,1.0,Urban,Y
LP002266,Male,Yes,2,Graduate,No,4340,1400.0,146.9,360.0,1.0,Urban,Y
LP001552,Male,Yes,0,Graduate,No,6416,5625.0,331.5,360.0,1.0,Urban,Y
LP002618,Male,Yes,1,Not Graduate,No,5670,5302.0,179.4,360.0,,Urban,N
